product_id,previous_description_html
6748508225625,<p>Collectible Painting featuring: Frederic Church from Hudson River School. This piece of memorabilia measures 30 x 24 inches and is museum framed. Own this Piece of Art History!</p><p>Photos shown are our catalogue images.</p>
6748509339737,<p>Collectible Painting featuring: Albert Bierstadt from Hudson River School. This piece of memorabilia measures 30 x 24 inches and is museum framed. Own this Piece of Art History!</p><p>Photos shown are our catalogue images.</p>
6748511699033,<p>Collectible Painting featuring: Albert Bierstadt from Hudson River School. This piece of memorabilia measures 30 x 24 inches and is museum framed. Own this Piece of Art History!</p><p>Photos shown are our catalogue images.</p>
6748512059481,<p>Collectible Painting featuring: Rockwell Kent from Hudson River School. This piece of memorabilia measures 30 x 24 inches and is museum framed. Own this Piece of Art History!</p><p>Photos shown are our catalogue images.</p>
6748514123865,<p>Collectible Painting featuring: Frederic Church from Hudson River School. This piece of memorabilia measures 30 x 24 inches and is museum framed. Own this Piece of Art History!</p><p>Photos shown are our catalogue images.</p>
6748515336281,<p>Collectible Painting featuring: William Bradford from Hudson River School. This piece of memorabilia measures 30 x 24 inches and is museum framed. Own this Piece of Art History!</p><p>Photos shown are our catalogue images.</p>
6748516122713,<p>Collectible Painting featuring: Thomas Cole from Hudson River School. This piece of memorabilia measures 30 x 24 inches and is museum framed. Own this Piece of Art History!</p><p>Photos shown are our catalogue images.</p>
6748516352089,<p>Collectible Painting featuring: Rockwell Kent from Hudson River School. This piece of memorabilia measures 30 x 24 inches and is museum framed. Own this Piece of Art History!</p><p>Photos shown are our catalogue images.</p>
6748516679769,<p>Collectible Painting featuring: Frederic Church from Hudson River School. This piece of memorabilia measures 30 x 24 inches and is museum framed. Own this Piece of Art History!</p><p>Photos shown are our catalogue images.</p>
6748517236825,<p>Collectible Painting featuring: Rockwell Kent from Hudson River School. This piece of memorabilia measures 30 x 24 inches and is museum framed. Own this Piece of Art History!</p><p>Photos shown are our catalogue images.</p>
6748517367897,<p>Collectible Painting featuring: John Frederick Kensett from Hudson River School. This piece of memorabilia measures 30 x 24 inches and is museum framed. Own this Piece of Art History!</p><p>Photos shown are our catalogue images.</p>
6748522971225,"<p>Showcasing three basketball superstars, this framed canvas features Michael Jordan, Kobe Bryant, and LeBron James. Measuring 33.5 x 23.5 inches and museum framed, this piece is perfect for anyone looking to celebrate the legacy of these NBA icons.</p><p>Photos shown are our catalogue images.</p>"
6748525658201,"<p>This framed canvas features two of the greatest NBA legends, Michael Jordan and Kobe Bryant. Measuring 33.5 x 23.5 inches and museum framed, this collectible artwork captures the essence of basketball excellence. A must-have for any fan or collector!</p><p>Photos shown are our catalogue images.</p>"
6845613146201,<p>Autographed 8x10 Photograph signed by: Johnny Bower from Toronto Maple Leafs. This piece of memorabilia measures 10 x 8 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
6845613310041,<p>Autographed 8x10 Photograph signed by: Johnny Bower and Bobby Hull from Toronto Maple Leafs and Chicago Blackhawks. This piece of memorabilia measures 10 x 8 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
6845614325849,<p>Autographed 8x10 Photograph signed by: Bobby Hull from Chicago Blackhawks. This piece of memorabilia measures 10 x 8 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
6845614784601,<p>Autographed 8x10 Photograph signed by: Guy Lafleur from Montreal Canadiens. This piece of memorabilia measures 10 x 8 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
